,SOQL Query
0,"SELECT TotalAmount,ShippingCountry FROM Order ORDER BY OrderedDate DESC"
1,"SELECT FirstName,org62_Chatter_Link__c FROM User ORDER BY Department"
2,"SELECT Company,Name FROM Lead ORDER BY AnnualRevenue"
3,"SELECT Description,Description FROM Order ORDER BY Name DESC"
4,"SELECT Keywords,ContentType,Keywords FROM Document"
5,"SELECT Id,LeadSource FROM Opportunity ORDER BY LeadSource DESC NULLS LAST"
6,SELECT Name FROM Document
7,"SELECT Type,NextStep FROM Opportunity ORDER BY Name DESC NULLS LAST"
8,"SELECT DeveloperName,Name FROM Document ORDER BY Name DESC NULLS LAST"
9,"SELECT Id,MiddleName FROM Contact ORDER BY Name NULLS LAST"
10,"SELECT Description,FirstName,Description FROM Lead"
11,"SELECT Description,MiddleName FROM Contact GROUP BY Department"
12,"SELECT Status,SerialNumber FROM Asset ORDER BY Price DESC NULLS LAST"
13,"SELECT State,IsConverted FROM Lead ORDER BY Rating"
14,"SELECT State,MiddleName FROM Lead ORDER BY LeadSource DESC"
15,"SELECT Type,Name FROM Opportunity ORDER BY LeadSource DESC NULLS LAST"
16,"SELECT GrandTotalAmount,Status FROM Order ORDER BY TotalAmount"
17,"SELECT Id,IsPersonAccount FROM Account"
18,"SELECT Id,LeadSource FROM Opportunity ORDER BY Probability"
19,"SELECT AssetLevel,Status FROM Asset ORDER BY Name DESC NULLS LAST"
20,"SELECT OwnerId,ShippingState FROM Order ORDER BY TotalAmount DESC NULLS LAST"
21,SELECT Name FROM Order GROUP BY Status
22,"SELECT Description,Status FROM Asset ORDER BY SerialNumber NULLS LAST"
23,"SELECT Name,AccountId FROM Asset ORDER BY SerialNumber DESC"
24,"SELECT Name,Id FROM Opportunity ORDER BY Amount DESC"
25,"SELECT AnnualRevenue,Company FROM Lead ORDER BY NumberOfEmployees"
26,"SELECT Description,AssetLevel FROM Asset ORDER BY Price DESC NULLS LAST"
27,"SELECT Email,AccountId FROM Contact"
28,"SELECT ContactId,Price FROM Asset GROUP BY Status"
29,"SELECT BillingCountry,BillingCity FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
30,"SELECT BillingStreet,BillingStreet FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
31,"SELECT ShippingState,BillingCountry FROM Order ORDER BY GrandTotalAmount DESC"
32,"SELECT Description,Department FROM Contact ORDER BY Department NULLS LAST"
33,"SELECT Id,State FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
34,"SELECT AnnualRevenue,Company FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
35,"SELECT BillingState,Status FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
36,"SELECT Name,SerialNumber FROM Asset ORDER BY Quantity DESC NULLS LAST LIMIT 1"
37,"SELECT NextStep,LeadSource FROM Opportunity ORDER BY Probability NULLS LAST"
38,"SELECT Id,Id FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
39,"SELECT AccountNumber,IsPersonAccount FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
40,"SELECT Email,Name FROM Contact ORDER BY FirstName NULLS LAST"
41,"SELECT Description,Department FROM Contact ORDER BY LastName DESC NULLS LAST"
42,"SELECT AnnualRevenue,Company FROM Lead GROUP BY Status"
43,"SELECT BillingCity,Description FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
44,"SELECT Price,AccountId,Price FROM Asset"
45,SELECT Email FROM User GROUP BY Country
46,"SELECT Email,MiddleName FROM Lead ORDER BY NumberOfEmployees"
47,"SELECT Email,AccountId FROM Contact ORDER BY LeadSource DESC"
48,"SELECT Name,BillingCity FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
49,"SELECT Division,State FROM User"
50,"SELECT SerialNumber,Name FROM Asset ORDER BY Quantity DESC NULLS LAST"
51,"SELECT BillingCity,BillingCity FROM Order ORDER BY OrderedDate DESC"
52,"SELECT GrandTotalAmount,Status FROM Order GROUP BY BillingCity"
53,"SELECT Id,AnnualRevenue FROM Lead GROUP BY State"
54,"SELECT Id,Amount FROM Opportunity ORDER BY Amount DESC"
55,"SELECT LastName,Rating FROM Lead ORDER BY Rating"
56,"SELECT Email,LastName FROM Lead ORDER BY FirstName"
