,SOQL Query
0,"SELECT EmployeeNumber,FirstName FROM User ORDER BY Department DESC NULLS LAST"
1,"SELECT Name,ShippingCity FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
2,"SELECT Price,Name FROM Asset ORDER BY Name"
3,"SELECT Name,Phone FROM Contact ORDER BY Name"
4,"SELECT Description,AccountId FROM Asset GROUP BY Status"
5,"SELECT Status,Description FROM Order ORDER BY TotalAmount DESC NULLS LAST"
6,"SELECT JobFamily__c,Division,JobFamily__c FROM User"
7,"SELECT Description,BillingCountry,Description FROM Order"
8,"SELECT ContactId,Name FROM Opportunity ORDER BY Probability NULLS LAST"
9,"SELECT IsConverted,FirstName FROM Lead ORDER BY NumberOfEmployees DESC"
10,"SELECT AccountId,LeadSource FROM Contact ORDER BY LeadSource DESC NULLS LAST"
11,"SELECT IsClosed,OwnerId FROM Opportunity ORDER BY Amount DESC"
12,"SELECT Ownership,Name FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
13,SELECT Email FROM Lead GROUP BY Status
14,"SELECT Status,Description FROM Asset ORDER BY Name DESC NULLS LAST"
15,"SELECT OwnerId,Description FROM Case ORDER BY ClosedDate NULLS LAST"
16,"SELECT Type,AnnualRevenue FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
17,"SELECT OwnerId,EndDate FROM Order ORDER BY OrderedDate"
18,"SELECT Name,IsClosed FROM Opportunity ORDER BY Amount NULLS LAST LIMIT 1"
19,"SELECT ContactPhone,Reason,ContactPhone FROM Case"
20,SELECT SerialNumber FROM Asset
21,SELECT BillingPostalCode FROM Account GROUP BY BillingCountry
22,"SELECT Company,LastName FROM Lead GROUP BY State"
23,"SELECT NumberOfEmployees,BillingCountry FROM Account ORDER BY AnnualRevenue DESC"
24,"SELECT BillingPhoneNumber,ShippingState FROM Order GROUP BY BillingCountry"
25,"SELECT AccountId,ShippingCountry FROM Order ORDER BY OrderedDate NULLS LAST"
26,"SELECT AnnualRevenue,Description FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
27,"SELECT Description,BillingPhoneNumber FROM Order"
28,"SELECT FiscalYear,Probability FROM Opportunity GROUP BY Type"
29,"SELECT Status,City FROM Lead ORDER BY LeadSource DESC NULLS LAST"
30,"SELECT ContactId,Id FROM Opportunity ORDER BY Probability NULLS LAST"
31,SELECT IsPersonAccount FROM Account GROUP BY BillingCity
32,"SELECT IsPersonAccount,Industry FROM Account ORDER BY NumberOfEmployees DESC"
33,"SELECT MiddleName,LastName FROM Lead ORDER BY Rating DESC"
34,"SELECT Name,BillingCity FROM Order ORDER BY GrandTotalAmount NULLS LAST"
35,"SELECT Name,SerialNumber FROM Asset ORDER BY Name DESC"
36,"SELECT AnnualRevenue,Description FROM Lead ORDER BY Name DESC"
37,"SELECT Name,AccountId FROM Asset ORDER BY SerialNumber DESC NULLS LAST"
38,"SELECT IsConverted,MobilePhone FROM Lead ORDER BY FirstName DESC NULLS LAST"
39,"SELECT AccountId,Title FROM User GROUP BY City"
40,SELECT OrderedDate FROM Order GROUP BY Type
41,"SELECT JobProfile__c,AboutMe FROM User GROUP BY Division"
42,"SELECT Email,UserType FROM User ORDER BY Name DESC NULLS LAST"
43,"SELECT TotalAmount,Status FROM Order ORDER BY Name DESC NULLS LAST"
44,"SELECT Description,ContactId FROM Opportunity GROUP BY Type"
45,"SELECT Rating,FirstName FROM Lead ORDER BY Name NULLS LAST"
46,"SELECT Name,Price FROM Asset ORDER BY Price NULLS LAST"
47,"SELECT Type,OwnerId FROM Order ORDER BY TotalAmount DESC NULLS LAST"
